d,p,00,312
d,p,00,313
d,p,00,314
d,p,00,315
d,p,00,316
d,p,00,317
d,p,00,318
d,p,00,319
d,p,00,320
d,p,00,321
d,p,00,322
d,p,00,323
d,p,00,324
d,p,00,325
d,p,00,326
d,p,00,327
d,p,01,328
d,p,02,329
d,p,04,330
d,p,07,331
d,p,010,332
d,p,013,333
d,p,015,334
d,p,017,335
d,p,018,336
d,p,017,337
d,p,016,338
d,p,014,339
d,p,012,340
d,p,010,341
d,p,09,342
d,p,08,343
d,p,07,344
d,p,06,345
d,p,06,346
d,p,05,347
d,p,05,348
d,p,05,349
d,p,04,350
d,p,04,351
d,p,04,352
d,p,04,353
d,p,04,354
d,p,04,355
d,p,04,356
d,p,04,357
d,p,04,358
d,p,04,359
d,p,04,360
d,p,04,361
d,p,04,362
d,p,04,363
d,p,04,364
d,p,04,365
d,p,05,366
d,p,07,367
d,p,09,368
d,p,012,369
d,p,015,370
d,p,017,371
d,p,019,372
d,p,020,373
d,p,020,374
d,p,020,375
d,p,019,376
d,p,017,377
d,p,015,378
d,p,013,379
d,p,011,380
d,p,010,381
d,p,010,382
d,p,09,383
d,p,08,384
d,p,07,385
d,p,07,386
d,p,06,387
d,p,05,388
d,p,05,389
d,p,05,390
d,p,05,391
d,p,05,392
d,p,04,393
d,p,04,394
d,p,04,395
d,p,04,396
d,p,04,397
d,p,04,398
d,p,04,399
d,p,04,400
d,p,04,401
d,p,04,402
d,p,04,403
d,p,04,404
d,p,05,405
d,p,07,406
d,p,09,407
d,p,012,408
d,p,014,409
d,p,017,410
d,p,019,411
d,p,020,412
d,p,020,413
d,p,021,414
d,p,019,415
d,p,017,416
d,p,015,417
d,p,013,418
d,p,011,419
d,p,010,420
d,p,010,421
d,p,09,422
d,p,08,423
d,p,07,424
d,p,07,425
d,p,06,426
d,p,05,427
d,p,05,428
d,p,05,429
d,p,05,430
d,p,04,431
d,p,04,432
d,p,04,433
d,p,04,434
d,p,04,435
d,p,04,436
d,p,04,437
d,p,04,438
d,p,04,439
d,p,04,440
d,p,04,441
d,p,04,442
d,p,04,443
d,p,05,444
d,p,07,445
d,p,09,446
d,p,012,447
d,p,015,448
d,p,017,449
d,p,018,450
d,p,019,451
d,p,020,452
d,p,020,453
d,p,019,454
d,p,017,455
d,p,015,456
d,p,013,457
d,p,011,458
d,p,010,459
d,p,010,460
d,p,09,461
d,p,08,462
d,p,07,463
d,p,07,464
d,p,06,465
d,p,05,466
d,p,05,467
d,p,05,468
d,p,05,469
d,p,04,470
d,p,04,471
d,p,04,472
d,p,04,473
d,p,04,474
d,p,04,475
d,p,04,476
d,p,04,477
d,p,04,478
d,p,04,479
d,p,04,480
d,p,04,481
d,p,04,482
d,p,05,483
d,p,07,484
d,p,09,485
d,p,012,486
d,p,015,487
d,p,017,488
d,p,018,489
d,p,019,490
d,p,020,491
d,p,020,492
d,p,019,493
d,p,016,494
d,p,015,495
d,p,013,496
d,p,011,497
d,p,010,498
d,p,010,499
d,p,09,500
d,p,08,501
d,p,07,502
d,p,07,503
d,p,06,504
d,p,05,505
d,p,05,506
d,p,05,507
d,p,05,508
d,p,04,509
d,p,04,510
d,p,04,511
d,p,04,512
d,p,04,513
d,p,04,514
d,p,04,515
d,p,04,516
d,p,04,517
d,p,04,518
d,p,04,519
d,p,04,520
d,p,04,521
d,p,05,522
d,p,07,523
d,p,010,524
d,p,012,525
d,p,015,526
d,p,017,527
d,p,019,528
d,p,019,529
d,p,020,530
d,p,020,531
d,p,018,532
d,p,017,533
d,p,015,534
d,p,013,535
d,p,011,536
d,p,010,537
d,p,010,538
d,p,09,539
d,p,08,540
d,p,07,541
d,p,07,542
d,p,06,543
d,p,05,544
